source_of_legitimation,maxim,basis_of_the_bond,cpeum_anchor
Tradition,"Do what the fathers did","Obligation from historical continuity; the past validates the present","Art. 39 (sovereignty in the people, original DOF 05-02-1917); 1917 Constituent Congress Preamble"
Agreement,"Behave according to the pacts (pacta sunt servanda)","Norm binds because recipients consented; autonomy of the will","Art. 40 (representative, democratic, federal Republic); Art. 135 (supermajority amendment rule)"
Divine/Religious,"Obey God","Transcendent authority; the sacred sanctions the norm","Arts. 24 and 130 (freedom of religion; strict Church/State separation — the Reforma's constitutional legacy)"
Reason,"Follow reason (responsa, jurisprudence, expertise)","Authority of the sage, judge, or expert; rational, law-bound argumentation — primary source in a civil-law order","Arts. 94–107 (judiciary; jurisprudencia); Art. 28 (autonomous bodies, partially extinguished DOF 20 Dec 2024); Art. 1 (human rights via courts)"
Authority,"Obey the leader (political/ideological law)","The apex translates political values into norms; citizens obey as the group's voice (Ehrlich: 'conscious of serving the ruler, and only sometimes of serving the group')","Art. 80 (executive power); Art. 89 (presidential faculties); Art. 39 (sovereignty)"
